lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
astar_313B,96.0,186247.0,182615.0,186652.0,187193.0,186659.0,186455.0,184786.0,190846.0,282797.0,189197.0,190713.0,226593.0,182624.0,183845.0,186520.0,186520.0,186247.0,186247.0,186247.0,186247.0,186247.0,270871.0,354261.0,343278.0,284067.0,354261.0,337924.0,351990.0,344104.0,109.0,364837.0,380584.0,108.0,117.0,348179.0,363632.0,108.0,135.0,322083.0,111.0,247110.0
cactusADM_1039B,21.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,869.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,28477.0,34.0,77.0,22.0,22.0,34.0,27.0,27.0,22.0,4399.0,12612.0,22.0,22.0,903.0,11546.0,22.0,22.0,22.0,22.0,8867.0
sphinx3_883B,93.0,803.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,798.0,803.0,803.0,794.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,5470.0,1355.0,1359.0,610.0,1756.0,1357.0,1354.0,1363.0,83.0,1035.0,244.0,83.0,83.0,1091.0,641.0,83.0,82.0,84.0,368.0,1462.0
perlbench_105B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leslie3d_1186B,671.0,24440.0,23149.0,23165.0,23160.0,23160.0,23138.0,23140.0,23149.0,30518.0,23185.0,23185.0,27923.0,26200.0,25118.0,24440.0,24440.0,24440.0,24440.0,24440.0,24440.0,24440.0,31420.0,26232.0,27022.0,25228.0,1360.0,26230.0,26242.0,26281.0,9793.0,30821.0,31799.0,465.0,16433.0,30649.0,28451.0,465.0,463.0,463.0,16928.0,27098.0
omnetpp_17B,0.0,462.0,472.0,463.0,459.0,463.0,468.0,472.0,466.0,456.0,462.0,462.0,464.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,565.0,115.0,111.0,0.0,86.0,112.0,20.0,70.0,0.0,106.0,8.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,176.0
zeusmp_600B,2.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,5911.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,640.0,2947.0,9.0,9.0,9.0,2295.0,9.0,9.0,9.0,9.0,837.0
gcc_56B,0.0,2532.0,2543.0,2122.0,2333.0,2514.0,2849.0,2955.0,2661.0,2988.0,2426.0,2364.0,2940.0,2746.0,2670.0,2591.0,2591.0,2532.0,2532.0,2532.0,2532.0,2532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
perlbench_53B,2.0,2035.0,2033.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2155.0,2035.0,2035.0,2043.0,2035.0,2035.0,2036.0,2036.0,2035.0,2035.0,2035.0,2035.0,2035.0,2478.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,36.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,257.0
cactusADM_734B,44.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,1880.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,29108.0,902.0,1234.0,902.0,1078.0,953.0,860.0,860.0,46.0,5523.0,13861.0,46.0,46.0,4241.0,12702.0,46.0,46.0,46.0,885.0,9493.0
lbm_94B,18.0,73574.0,73787.0,73839.0,67246.0,68330.0,75937.0,80475.0,68983.0,223729.0,60684.0,52102.0,191973.0,98182.0,84126.0,73574.0,73574.0,73574.0,73574.0,73574.0,73574.0,73574.0,196291.0,187858.0,189216.0,75028.0,111556.0,187589.0,183891.0,183369.0,42775.0,210419.0,221939.0,18.0,50576.0,208972.0,220783.0,15649.0,17794.0,26430.0,8048.0,134795.0
mcf_46B,158.0,54947.0,61343.0,59743.0,71154.0,66533.0,58552.0,65505.0,61845.0,101100.0,64904.0,55905.0,102435.0,63859.0,54997.0,54996.0,54996.0,54947.0,54947.0,54947.0,54947.0,54947.0,87824.0,91179.0,102503.0,251.0,890.0,101595.0,87490.0,90642.0,7818.0,121845.0,145992.0,272.0,8398.0,121644.0,144458.0,269.0,238.0,310.0,266.0,66488.0
calculix_3812B,0.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10036.0,10643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0
libquantum_1735B,0.0,113481.0,113481.0,113481.0,113481.0,113481.0,113481.0,113481.0,113481.0,123583.0,113481.0,113481.0,123508.0,119587.0,113481.0,113481.0,113481.0,113481.0,113481.0,113481.0,113481.0,113481.0,123341.0,122980.0,123113.0,122980.0,0.0,123037.0,122984.0,122988.0,122211.0,123480.0,123460.0,69308.0,123084.0,123000.0,123126.0,115436.0,0.0,0.0,0.0,122088.0
